arch,dtype,K,V,BT,H,Hg,T_flat,N,head_seqlen,mid_seqlen,tail_seqlen,use_g,use_gk,use_h0,store_fs,save_vn,is_varlen,wu_contig,BV,duration
gfx950,torch.bfloat16,128,128,64,32,16,32753,4,8954,10000,3799,True,False,True,True,True,True,True,64,550.2297
gfx950,torch.bfloat16,128,128,64,32,16,32750,4,6201,10000,6549,True,False,True,True,True,True,True,64,546.7008
gfx950,torch.bfloat16,128,128,64,32,16,32747,4,3451,10000,9296,True,False,True,True,True,True,True,64,547.7505
gfx950,torch.bfloat16,128,128,64,32,16,32744,5,704,10000,2040,True,False,True,True,True,True,True,64,549.2457
gfx950,torch.bfloat16,128,128,64,32,16,32740,4,7960,10000,4780,True,False,True,True,True,True,True,64,544.9512
gfx950,torch.bfloat16,128,128,64,32,16,32737,4,5220,10000,7517,True,False,True,True,True,True,True,64,544.7137
gfx950,torch.bfloat16,128,128,64,32,16,32734,5,2483,10000,251,True,False,True,True,True,True,True,64,548.7625
gfx950,torch.bfloat16,128,128,64,32,16,32730,4,9749,10000,2981,True,False,True,True,True,True,True,64,549.5161
gfx950,torch.bfloat16,128,128,64,32,16,32727,4,7019,10000,5708,True,False,True,True,True,True,True,64,546.4936
gfx950,torch.bfloat16,128,128,64,32,16,32724,4,4292,10000,8432,True,False,True,True,True,True,True,64,548.6545
gfx950,torch.bfloat16,128,128,64,32,16,32721,5,1568,10000,1153,True,False,True,True,True,True,True,64,551.3817
gfx950,torch.bfloat16,128,128,64,32,16,32717,4,8847,10000,3870,True,False,True,True,True,True,True,64,549.5968
gfx950,torch.bfloat16,128,128,64,32,16,32714,4,6130,10000,6584,True,False,True,True,True,True,True,64,547.3409
gfx950,torch.bfloat16,128,128,64,32,16,32711,4,3416,10000,9295,True,False,True,True,True,True,True,64,548.2416
gfx950,torch.bfloat16,128,128,64,32,16,30705,4,705,10000,10000,True,False,True,True,True,True,True,64,544.7200
gfx950,torch.bfloat16,128,128,64,32,16,32727,4,7273,10000,5454,True,False,True,True,True,True,True,64,547.1024
gfx950,torch.bfloat16,128,128,64,32,16,32727,4,4546,10000,8181,True,False,True,True,True,True,True,64,546.6664
gfx950,torch.bfloat16,128,128,64,32,16,32728,5,1819,10000,909,True,False,True,True,True,True,True,64,550.9825
gfx950,torch.bfloat16,128,128,64,32,16,32727,4,9091,10000,3636,True,False,True,True,True,True,True,64,548.7777
gfx950,torch.bfloat16,128,128,64,32,16,32727,4,6364,10000,6363,True,False,True,True,True,True,True,64,546.0144
gfx950,torch.bfloat16,128,128,64,32,16,32727,4,3637,10000,9090,True,False,True,True,True,True,True,64,548.0152
gfx950,torch.bfloat16,128,128,64,32,16,32728,5,910,10000,1818,True,False,True,True,True,True,True,64,550.5081
gfx950,torch.bfloat16,128,128,64,32,16,32727,4,8182,10000,4545,True,False,True,True,True,True,True,64,546.0320
gfx950,torch.bfloat16,128,128,64,32,16,32727,4,5455,10000,7272,True,False,True,True,True,True,True,64,546.9328
gfx950,torch.bfloat16,128,128,64,32,16,32727,4,2728,10000,9999,True,False,True,True,True,True,True,64,550.7217
gfx950,torch.bfloat16,128,128,64,32,16,32724,4,7273,10000,5451,True,False,True,True,True,True,True,64,546.6577
gfx950,torch.bfloat16,128,128,64,32,16,32721,4,4549,10000,8172,True,False,True,True,True,True,True,64,549.1057
gfx950,torch.bfloat16,128,128,64,32,16,32718,5,1828,10000,890,True,False,True,True,True,True,True,64,552.1417
gfx950,torch.bfloat16,128,128,64,32,16,32714,4,9110,10000,3604,True,False,True,True,True,True,True,64,549.0992
gfx950,torch.bfloat16,128,128,64,32,16,32711,4,6396,10000,6315,True,False,True,True,True,True,True,64,546.4584
gfx950,torch.bfloat16,128,128,64,32,16,32708,4,3685,10000,9023,True,False,True,True,True,True,True,64,547.7041
gfx950,torch.bfloat16,128,128,64,32,16,977,1,977,0,0,True,False,True,True,True,True,True,16,30.6266
gfx950,torch.bfloat16,128,128,64,32,16,27264,3,7264,10000,10000,True,False,True,True,True,True,True,64,534.9046
gfx950,torch.bfloat16,128,128,64,32,16,32737,4,7264,10000,5473,True,False,True,True,True,True,True,64,545.5440
gfx950,torch.bfloat16,128,128,64,32,16,32737,4,4527,10000,8210,True,False,True,True,True,True,True,64,546.5888
gfx950,torch.bfloat16,128,128,64,32,16,32737,5,1790,10000,947,True,False,True,True,True,True,True,64,549.4793
gfx950,torch.bfloat16,128,128,64,32,16,32737,4,9053,10000,3684,True,False,True,True,True,True,True,64,547.2977
gfx950,torch.bfloat16,128,128,64,32,16,32737,4,6316,10000,6421,True,False,True,True,True,True,True,64,545.6888
gfx950,torch.bfloat16,128,128,64,32,16,32737,4,3579,10000,9158,True,False,True,True,True,True,True,64,548.0240
gfx950,torch.bfloat16,128,128,64,32,16,32737,5,842,10000,1895,True,False,True,True,True,True,True,64,549.8984
gfx950,torch.bfloat16,128,128,64,32,16,32734,4,8105,10000,4629,True,False,True,True,True,True,True,64,546.8616
gfx950,torch.bfloat16,128,128,64,32,16,32731,4,5371,10000,7360,True,False,True,True,True,True,True,64,547.3456
